#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0008144	drug binding	6	1710	0.72	0.0026	9606.ENSP00000216274,9606.ENSP00000259808,9606.ENSP00000304226,9606.ENSP00000308351,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,RIPK1,HIPK3,MLKL,MAP2K7,MAP3K1
GO:0019901	protein kinase binding	4	599	1.0	0.0029	9606.ENSP00000259371,9606.ENSP00000308351,9606.ENSP00000381070,9606.ENSP00000382423	DAB2IP,MLKL,MAP2K7,MAP3K1
GO:0043167	ion binding	10	6066	0.39	0.0044	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000304226,9606.ENSP00000308351,9606.ENSP00000314709,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DAB2IP,RIPK1,HIPK3,MLKL,ZHX2,SMURF1,MAP2K7,MAP3K1
GO:0019904	protein domain specific binding	4	706	0.93	0.0046	9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838	KRAS,DAB2IP,RIPK1,FADD
GO:0005488	binding	13	11878	0.22	0.0071	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000304226,9606.ENSP00000308351,9606.ENSP00000314709,9606.ENSP00000328364,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,FADD,HIPK3,MLKL,ZHX2,MAFA,SMURF1,MAP2K7,MAP3K1
GO:0019899	enzyme binding	6	2197	0.61	0.0077	9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000308351,9606.ENSP00000381070,9606.ENSP00000382423	DAB2IP,RIPK1,FADD,MLKL,MAP2K7,MAP3K1
GO:0016740	transferase activity	6	2250	0.6	0.0082	9606.ENSP00000216274,9606.ENSP00000259808,9606.ENSP00000304226,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,RIPK1,HIPK3,SMURF1,MAP2K7,MAP3K1
GO:1901363	heterocyclic compound binding	9	5305	0.41	0.0082	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000259808,9606.ENSP00000304226,9606.ENSP00000308351,9606.ENSP00000314709,9606.ENSP00000328364,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,RIPK1,HIPK3,MLKL,ZHX2,MAFA,MAP2K7,MAP3K1
GO:0097159	organic cyclic compound binding	9	5382	0.4	0.0086	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000259808,9606.ENSP00000304226,9606.ENSP00000308351,9606.ENSP00000314709,9606.ENSP00000328364,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,RIPK1,HIPK3,MLKL,ZHX2,MAFA,MAP2K7,MAP3K1
GO:0019903	protein phosphatase binding	2	123	1.39	0.0120	9606.ENSP00000259371,9606.ENSP00000381070	DAB2IP,MAP2K7
